lgeo,count,z,lat,lon,atcl_no,atcl_url,atcl_price,atcl_cost,atcl_description,atcl_location
212032303,1,13,37.467921,126.988876,2507267580,https://fin.land.naver.com/articles/2507267580,"2억 1,500",5만원,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 남태령역
【 층   수 】 지층
【 승강기 】 없음
【 주   차 】 1대 무료
【 관리비 】  5만원
【 입   주 】 협의입주
【 대   출 】 가능
【 보   험 】 가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆",https://m.land.naver.com/near/article/2507267580
212032323,61,13,37.4899762,126.98442384,2510503552,https://fin.land.naver.com/articles/2510503552,"2억 9,000","3만 5,000원"," ◆ ◆매물 상세설명 ◆◆

▣ 교   통 :  7호선 내방역
▣ 층   수 :  2층
▣ 승강기 :  무
▣ 주   차 :  가능
▣ 관리비 :  3.5만원
▣ 입   주 : 즉시 또는 협의


- 내방역 역세권으로 인프라 좋음
- 고속터미널, 강남성모병원, 신세계백화점 인근
- 방배동 개발호재 많음
- 정보사 부지 실리콘밸리로 인한 3만여명 일자리 창출
- 이수,내방역 서리풀터널 지구단위계획구역 지정
- 방배동 혁신 개발 매머드급 재건축 단지 호재
- 버스노선 다양하며 병원,은행,마트 등 편의시설 인프라 좋음
- 서리풀터널 개통으로 강남진입이 용이

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆

- 저희 매경부동산중개법인은 100% 실매물만
    올려드리고 있습니다(물건최다보유)
- 24시간 언제나 친절한 상담 해드립니다.
- 원하시는 물건 찾을 때까지 1:1 전담 서비스
- 고급빌라.고급주택.아파트 다세대건물. 상가주택  빌딩 전문중개
- 계약서/등기사항 꼼꼼히 설명 드립니다
- 본 물건 외 다양한 매물 준비 되어 있습니다

▶▶▶ 부동산 오시는길 ◀◀◀

- 방배동 NO.1 매경부동산중개법인
- 서울시 서초구 방배동 876-24(1층)
- 내방역 8번 출구에서 도보 1분(주차 가능)

- 엄선된 매물, 확실한 권리분석으로 신뢰감있는
  매경부동산의 모습을 보여드리겠습니다
  감사합니다  

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆ 
 ",https://m.land.naver.com/near/article/2510503552
212032323,61,13,37.4899762,126.98442384,2510557526,https://fin.land.naver.com/articles/2510557526,"2억 7,000",12만원,"〓★〓 이수래미안(단지내)로이파크 공인중개사사무소 〓★〓 

안녕하세요~^^
이수래미안(단지내)로이파크 공인중개사 대표 이수빈입니다. 
☎ 010 - 5354 - 4458

〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓

아파트＊주택＊ 상가＊ 사무실 ＊빌딩물건
저에게 맡겨 주시면 성심성의를 다해신속하게 처리하겠습니다. 
☎ 010 - 5354 - 4458 

〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓〓★〓",https://m.land.naver.com/near/article/2510557526
212032323,61,13,37.4899762,126.98442384,2510580901,https://fin.land.naver.com/articles/2510580901,"2억 3,500",5만원,"* 이수역세권 서문여고 인근 밝고 안방넓은 2룸 욕실1개  세탁실
조용한 주택가에 위치한 주택
* 금액 : 보증금2억3500만원
* 입주일 : 25년3월초~4월초 협의가능
* 주  차 :  가능
* 애완동물 안됨
* 건축년도: 2001년
* 승강기 : 없음
* 학군 : 방배초등, 서문여중고, 동덕여고, 방배중등 명문학군
* 교통 : 4,7호선 이수역 도보5분/ 버스정류장 도보4분
* 인근편의시설 : 재래시장. 한강공원, 서울성모병원, 강남신세계백화점, 
은행, 미용실, 맛집, 편의점등이 인근에 있어 생활편리

 정확한 매물관리와 정보로 고객님의 소중한 시간을 절약하여 편하게 
  더좋은 집을 구해드리기 최선을 다하여 중개합니다.

  언제든지 연락주시면 성실하게 상담해드리겠습니다.
  ---------------------------------------
  ◆ 태인공인중개사사무소 ◆
  서울시 서초구 방배동 2106 1층
  02-592-4989/ 010-3847-7583",https://m.land.naver.com/near/article/2510580901
212032323,61,13,37.4899762,126.98442384,2510612532,https://fin.land.naver.com/articles/2510612532,"2억 9,000",7만원,"- 관리비 7만원 (인터넷포함+주차1대가능)
- 입주: 3월말 4월초 임차인과 협의가능
- 2룸 욕실1 세탁실1
- 옵션 : 에어컨2대 싱크대 신발장 가스레인지 등
- 보증보험가능하며, 대출가능합니다.",https://m.land.naver.com/near/article/2510612532
212032323,61,13,37.4899762,126.98442384,2510342816,https://fin.land.naver.com/articles/2510342816,"2억 9,000",7만원," ◆ ◆매물 상세설명 ◆◆

▣ 교   통 :  7호선 내방역
▣ 층   수 :  2층
▣ 승강기 :  무
▣ 주   차 :  가능
▣ 관리비 :  7만원
▣ 입   주 : 협의가능
▣ 기   타 : 대출, 보증보험 가능


- 내방역 역세권으로 인프라 좋음
- 고속터미널, 강남성모병원, 신세계백화점 인근
- 방배동 개발호재 많음
- 정보사 부지 실리콘밸리로 인한 3만여명 일자리 창출
- 이수,내방역 서리풀터널 지구단위계획구역 지정
- 방배동 혁신 개발 매머드급 재건축 단지 호재
- 버스노선 다양하며 병원,은행,마트 등 편의시설 인프라 좋음
- 서리풀터널 개통으로 강남진입이 용이

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆

- 저희 매경부동산중개법인은 100% 실매물만
    올려드리고 있습니다(물건최다보유)
- 24시간 언제나 친절한 상담 해드립니다.
- 원하시는 물건 찾을 때까지 1:1 전담 서비스
- 고급빌라.고급주택.아파트 다세대건물. 상가주택  빌딩 전문중개
- 계약서/등기사항 꼼꼼히 설명 드립니다
- 본 물건 외 다양한 매물 준비 되어 있습니다

▶▶▶ 부동산 오시는길 ◀◀◀

- 방배동 NO.1 매경부동산중개법인
- 서울시 서초구 방배동 876-24(1층)
- 내방역 8번 출구에서 도보 1분(주차 가능)

- 엄선된 매물, 확실한 권리분석으로 신뢰감있는
  매경부동산의 모습을 보여드리겠습니다
  감사합니다  

◆ ◆담당자 직통 010-8998-6424◆ ◆
◆ ◆담당자 직통 010-8998-6424◆ ◆ 
 ",https://m.land.naver.com/near/article/2510342816
212032323,61,13,37.4899762,126.98442384,2510388461,https://fin.land.naver.com/articles/2510388461,"2억 9,000","3만 5,000원"," ◆ 투룸 실평수 넓으며 3인~4인가족 살기좋습니다.

◆ 주차가능하며 대로변 안전한 귀갓길 입니다.

◆ 베란다 넓어 수납공간 좋습니다.

◆ 초등학교 학세권,역세권 물건 추천드립니다.

◆ 가구배치 편한 구조 입니다.

◆ 이외 다수 매물 보유중입니다.

☎ 대표 010-3895-0895 / ☎ 소속공인중개사 010-5113-7301 ",https://m.land.naver.com/near/article/2510388461
212032323,61,13,37.4899762,126.98442384,2510409340,https://fin.land.naver.com/articles/2510409340,"1억 8,000",5만원,,https://m.land.naver.com/near/article/2510409340
212032323,61,13,37.4899762,126.98442384,2510348657,https://fin.land.naver.com/articles/2510348657,"2억 7,000",5만원,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 이수역
【 층   수 】 1층
【 승강기 】 1대
【 주   차 】 1대
【 관리비 】 5만원
【 입   주 】 협의입주
【 대   출 】 불가능
【 보   험 】 불가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆",https://m.land.naver.com/near/article/2510348657
212032323,61,13,37.4899762,126.98442384,2510278938,https://fin.land.naver.com/articles/2510278938,3억,5만원,"      ❀❀❀ 매물 특징 ❀❀❀

ㅇ 즉시 입주 가능합니다.
ㅇ 올수리 하였습니다.
ㅇ 주차가능하고 대출 가능합니다.
ㅇ 전용 13평 입니다.
ㅇ 서문여중고, 방배초등학교 등 명문학군입니다.
ㅇ 이수역 5분 거리입니다.
ㅇ 국립현충원.관악산 등이 가까워 힐링등으로 건강관리에 유리합니다.
ㅇ 남성시장, 농산물마트 등 주민편의 시설이 다양합니다.

      ☺☺☺ 이레부동산 안내 ☺☺☺

ㅇ 친절과 봉사로 최선을 다하여 만족시켜 드리겠습니다.
ㅇ 한번 맺은 인연은 평생 마음속에 간직하겠습니다.
ㅇ 방배동 아파트, 빌라, 단독, 빌딩, 사무실 등 많은 물건에 대해 매매, 
   전세, 월세 등 많은 매물이 있습니다.
ㅇ 연락주시면 만족상담 드리겠습니다.
ㅇ 감사합니다.
ㅇ 이레부동산(☎)(02-534-8808, 010-3349-2602)
",https://m.land.naver.com/near/article/2510278938
