lgeo,count,z,lat,lon,atcl_no,atcl_description
212032303,10,13,37.46406251,126.98525392,2503855425,"◈◈ 매물 상세정보 ◈◈

【 교   통 】 4호선 남태령역
【 층   수 】 지층
【 승강기 】 없음
【 주   차 】 1대 무료
【 관리비 】  5만원
【 입   주 】 협의입주
【 대   출 】 가능
【 보   험 】 가능

▶▶ 부동산 오시는길 ◀◀

【 내방역 8번출구 도보 1분 매경부동산중개법인】
【 서울시 서초구 방배동 876-24 1층 주차가능 】

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆

◇ 24시간 언제나 친절한 상담 해드립니다.
◇ 원하시는 물건 찾을 때까지 1:1 전담 서비스
◇ 방배동.사당동,반포동,서초동 내 부동산전문
◇ 계약서/등기사항 꼼꼼히 설명 드립니다
◇ 본 물건 외 다양한 매물 준비 되어 있습니다
==================================
※ 엄선된 매물,확실한 권리분석으로 신뢰감있는
   매경부동산의 모습을 보여드리겠습니다~

◆ ◆담당자 직통 010-8998-6424 ◆ ◆
◆ ◆담당자 직통 010-8998-6424 ◆ ◆"
212032303,10,13,37.46406251,126.98525392,2502711787,"▣ 4호선 남태령역 1번 출구 5분(400미터)
▣ 2016년 2월 신축급
▣ 2룸 + 거실 맞벽구조 + 1욕실 +베란다 앞뒤
▣ 실면적 14평 규모
▣ 전세자금 대출 및 보증보험 가능
▣  임대사업자집으로 저렴
▣ 이사는 3월중순 또는 협의가능합니다.
▣ 남태령역 이용시 광화문 과천 이용 편리
▣ 2층 중 반지하이지만 양면에 베란다있어 햇빛이 잘들고
 통풍이 잘됩니다
▣ 주차 가능
▣ 관리비 5만원(정액관리비, 직전월 기준)
▣ 관리비 세부내역은 중개의뢰인이 미제시로 비목별 금액 미표시
▣ 전기, 수도, 가스사용료는 세대별 사용량에 따라 부과


=============================================
■ 대신공인중개사사무소는 믿음있게 중개합니다.
■ 대신공인중개사사무소는 신뢰있게 중개합니다.
■ 언제나 전화주세요.
■ 조건에 맞는 매물을 최선을 다해 찾아드립니다.
■ 대신공인중개사사무소 :  02 534 8337  /  010 5078 1349
============================================="
212032303,10,13,37.46406251,126.98525392,2501336742,"━━━━━━━━━━━━━━━━━━━━━━━


        ▣  매물 설명  ▣

▶남태령역 도보 6분
▶조용하고 한적한 숲세권 전원마을
▶반지층이지만 베란다가 있어환기 잘되고 밝아요
▶관리 잘 되어 깔끔, 주차가능
▶임대사업자 매물로 주변 시세대비 저렴합니다


▣▣담당공인중개사 010-4339-5050


━━━━━━━━━━━━━━━━━━━━━━━"
212032303,10,13,37.46406251,126.98525392,2502037544,"◆도심속의 숲세권으로 
  ◆조용한 남태령 전원속의 빌라입니다 
 ◆ 대출 주차 가능하며 
 ◆  신축급으로 지층이지만 밝고 깨끗합니다
 

-수년간의 노하우로 계약부터 사후관리까지 약속드립니다

-문의시 원하시는 조건 말씀해주시면 광고 등록하지못한 유사한 조건의 매물도 친절히 상담해드립니다

-발로 뛰는 고객 맞춤형 서비스, 꼼꼼하고 정확한 정보로 책임중개 합니다

-&quot;씨유 부동산&quot;에서만 느낄수 있는 전문적인분석 신뢰받는 중개 지역 공인중개사무소의 품격있는 가치서비스를 받아가시기 바랍니다


▶씨유 부동산

◎계약이 끝이 아닌 인연의 시작으로

◎고객과 더불어 성장하는 든든한 지역 동반자


씨유부동산
대표: 윤석현
소재지: 서초구 방배2동 456-15 1층
중개업등록번호: 11650 2024 00114
번호:02-586-8949"
212032303,10,13,37.46406251,126.98525392,2500820944,"* 1층 (약 29.75평) : 방2 욕실2 거실 주방
* 2층 (약 23평) : 방1 작은방2 욕실1
* 집 앞 주차 2대 가능

-&gt;전세 7억

* 지층 (약 29.6평) : 방2 욕실2
* 집 앞 주차 1대 가능

-&gt;지하만 따로 임대는 불가합니다.

전체 임대가는 전세 8억입니다.

입주는 1월말부터 협의 가능합니다.

마당이 있는 예쁜 단독주택이랍니다. 언제든 편안히 문의주세요.^^


♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡

안녕하세요. 부동산의 모든 것. 미엘 공인중개사입니다.

저희 미엘부동산 홈페이지 www.mielhaus.net 에 더 많은 매물이 올라와 있습니다.

저희 미엘 공인중개사는 서래마을에서 2003년부터 중개업무를 시작하여, 서래마을과 방배동, 반포동, 서초동 등 서초구 전체의 고급빌라, 아파트, 단독주택, 건물, 토지 등을 모든 고객님 한분한분께 정성을 다해 소개해 드리며, 오랜 경력으로 신뢰와 성실함을 바탕으로 중개에 임하고 있습니다.

항상 고객의 입장에서 생각하고 중개하는 미엘 부동산이 되겠습니다.

miEL의 뜻은 불어로 ‘꿀‘이며, HAUS의 뜻은 독일어로 ‘집‘입니다.
miEL HAUS는 저희가 만든 고유명사이며 뜻은 꿀벌집입니다.

꿀벌처럼 열심히 열심히 하겠습니다. 좋은 부동산 소개 해 드리는 일을...^^

www.mielhaus.net

♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡♥♡"
212032303,10,13,37.46406251,126.98525392,2505210491,"2층, 방2, 화장실1, 높은 층고, 앞 뒤 다용도실
반려동물 불가.
엘리베이터 없음.
-----------------------------
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :11650201800055
입주가능일 :20250117
방향기준 :거실
방수 : 2개 욕실수 : 1개
건축물용도 :공동주택
매물상세지번 :2736-23
사용승인일 :20030806"
212032303,10,13,37.46406251,126.98525392,2504213547,"잔디마당 있는 단독주택 1층 , 약8년전 리모델링 됨 
- 1층 + 다락만 사용하는 조건
- 빠른 입주 희망
- 주택대출 및 보증보험 어려움

1층: 방2, 화장실2, 거실, 부엌
2층: 방3, 화장실1 - 다락은 높이 약165 - 175 센치미터

지층: 방2,화2 은 현재 공실로, 
필요시 추가금 지불하시면 이용하실수 있습니다.
* 지층은 외부 출입문이 따로 있습니다. (내부X)
--------------------------------------
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :11650201800055
입주가능일 :20240131
방향기준 :거실
방수 : 4개 욕실수 : 2개
건축물용도 :단독주택
매물상세지번 :2877-1
사용승인일 :19870730"
212032303,10,13,37.46406251,126.98525392,2504043602,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

방2, 화장실1개,
남태령역 1번출구에서 도보 5분정도,
버스는 중앙차로이므로 막힘이 없음.

뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250212
매물상세지번 :2732-11
방향기준 :거실
방수 : 2개 욕실수 : 1개
건축물용도 :공동주택
사용승인일 :20160205"
212032303,10,13,37.46406251,126.98525392,2502721196,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

귀한 주택전세입니다.

방4개, 화장실 2개(1층 및 2층에 각각 방2개, 화장실 1개)
전원마을의 조용하고 쾌적한 환경,
집 내부도 깔끔함.

입주날짜는 협의 가능합니다.

남태령역 1번출구에서 도보 3분정도,
버스는 중앙차로이므로 막힘이 없음.
뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250328
방향기준 :거실
방수 : 4개 욕실수 : 2개
건축물용도 :단독주택
사용승인일 :19890306"
212032303,10,13,37.46406251,126.98525392,2500553988,"남태령부동산은 동네(전원마을 내에 있는) 중개업소입니다.

방2개, 화장실1개,
실제 1층 높이임.
남태령역 1번출구에서 도보 2분정도,
버스는 중앙차로이므로 막힘이 없음.

뒷산은 쾌적한 산책로와 운동공간을 제공합니다.
&lt;중개대상물의 표시 · 광고 명시사항 관련정보&gt;
개설등록번호 :9251-8897
입주가능일 :20250328
방향기준 :안방
방수 : 2개 욕실수 : 1개
건축물용도 :단독주택
매물상세지번 :2908-6
사용승인일 :20181113"
212032323,267,13,37.490625,126.98359375,2504021467,"▣ 3룸+2욕실 -2024년 신축 첫입주
▣ 지하주차장 (자주식+기계식)
▣ 9호선 구반포역+4호선 동작역 도보권
▣ 10년장기임대사업자로 2년마다 5% 증액 상한
▣ 서래초.방배중.세화여중.세화고.서문여중고.서울고 학군 
▣ 천장형시스템에어컨. 싱크대. 붙박이장. 전기레인지
▣ 올림픽대로. 사평대로. 동작대로 이용하여 접근성 용이
▣ 내부사진은 동일 평형 보여주는집 사진임
▣ 수도, 전기, 가스비는 사용량에 따라 부과됨
▣ 중개의뢰인이 관리비 세부내역을 미제시로 비목별 금액 미표시  

◎ 참좋은부동산 담당자 010-6297-3017 ◎
▷ 매물 번호를 알려주시면 쉽게 매물을 찾을 수 있습니다.
▷ 고객님의 금액, 입지, 사이즈, 날짜를 고려하여 맞춤중개
▷ 언제든지 전화주시면 성심껏 상담해 드리겠습니다.
▷ 모든 고객님께 신뢰와 믿음을 드리는 참좋은부동산입니다."
